Tanggal Kurs;Kurs
12/04/2016;7.02E-07
13/04/2016;4.24E-06
14/04/2016;0.000116309
15/04/2016;2.97E-05
18/04/2016;8.31E-06
19/04/2016;1.68E-05
20/04/2016;1.67E-06
21/04/2016;1.39E-05
22/04/2016;9.74E-07
25/04/2016;2.50E-05
26/04/2016;2.29E-06
27/04/2016;1.01E-05
28/04/2016;5.53E-06
29/04/2016;0
02/05/2016;8.27E-07
03/05/2016;5.18E-06
04/05/2016;4.05E-05
09/05/2016;8.21E-06
10/05/2016;1.36E-05
11/05/2016;2.17E-05
12/05/2016;4.44E-06
13/05/2016;8.13E-07
16/05/2016;1.63E-06
17/05/2016;1.41E-05
18/05/2016;9.51E-06
19/05/2016;0.000122117
20/05/2016;6.15E-05
23/05/2016;6.26E-06
24/05/2016;5.40E-09
25/05/2016;2.27E-05
26/05/2016;1.68E-05
27/05/2016;8.66E-06
30/05/2016;2.35E-05
31/05/2016;3.64E-06
01/06/2016;1.68E-05
02/06/2016;3.08E-06
03/06/2016;3.70E-05
06/06/2016;9.79E-05
07/06/2016;5.89E-05
08/06/2016;0.000101389
09/06/2016;5.71E-07
10/06/2016;3.46E-05
13/06/2016;5.77E-06
14/06/2016;2.61E-05
15/06/2016;8.79E-05
16/06/2016;2.82E-05
17/06/2016;5.40E-06
20/06/2016;5.42E-05
21/06/2016;3.84E-06
22/06/2016;8.15E-07
23/06/2016;6.17E-06
24/06/2016;5.45E-06
27/06/2016;0.000220701
28/06/2016;0.0003193
29/06/2016;4.64E-05
30/06/2016;1.13E-06
01/07/2016;3.69E-07
04/07/2016;0
11/07/2016;2.08E-05
12/07/2016;8.82E-06
13/07/2016;1.82E-05
14/07/2016;2.86E-07
15/07/2016;2.34E-08
18/07/2016;3.94E-06
19/07/2016;3.94E-06
20/07/2016;1.14E-06
21/07/2016;2.82E-06
22/07/2016;2.33E-06
25/07/2016;6.33E-06
26/07/2016;1.30E-06
27/07/2016;2.32E-06
28/07/2016;1.68E-06
29/07/2016;2.10E-06
01/08/2016;1.14E-06
02/08/2016;5.85E-09
03/08/2016;7.14E-06
04/08/2016;3.34E-06
05/08/2016;9.80E-07
08/08/2016;2.09E-06
09/08/2016;7.01E-07
10/08/2016;5.80E-07
11/08/2016;5.81E-07
12/08/2016;2.85E-07
15/08/2016;5.81E-09
16/08/2016;3.08E-06
18/08/2016;1.49E-06
19/08/2016;1.45E-07
22/08/2016;3.51E-05
23/08/2016;2.07E-06
24/08/2016;7.40E-06
25/08/2016;1.28E-06
26/08/2016;3.56E-06
29/08/2016;6.19E-06
30/08/2016;1.28E-06
31/08/2016;9.07E-06
01/09/2016;5.45E-06
